complexity_saving_fraction,topology,source_saving_field
0.3333333333333333,er,complexity_saving
0.3333333333333333,er,complexity_saving
0.0,er,complexity_saving
0.3333333333333333,er,complexity_saving
0.0,er,complexity_saving
0.3333333333333333,er,complexity_saving
0.3333333333333333,er,complexity_saving
0.3333333333333333,er,complexity_saving
0.9791666666666666,er,complexity_saving
0.3333333333333333,er,complexity_saving
0.0,er,complexity_saving
0.0,er,complexity_saving
0.3333333333333333,er,complexity_saving
0.0,er,complexity_saving
0.0,er,complexity_saving
0.0,er,complexity_saving
0.3333333333333333,er,complexity_saving
0.3333333333333333,er,complexity_saving
0.5,er,complexity_saving
0.3333333333333333,er,complexity_saving
0.3333333333333333,er,complexity_saving
0.0,er,complexity_saving
0.5,er,complexity_saving
0.3333333333333333,er,complexity_saving
0.3333333333333333,er,complexity_saving
0.3333333333333333,er,complexity_saving
0.0,er,complexity_saving
0.0,er,complexity_saving
0.0,er,complexity_saving
0.3333333333333333,er,complexity_saving
0.25,er,complexity_saving
0.25,er,complexity_saving
0.25,er,complexity_saving
0.25,er,complexity_saving
0.0,er,complexity_saving
0.0,er,complexity_saving
0.0,er,complexity_saving
-0.5,er,complexity_saving
-0.5,er,complexity_saving
-0.5,er,complexity_saving
0.0,er,complexity_saving
0.0,er,complexity_saving
0.0,er,complexity_saving
0.3333333333333333,er,complexity_saving
0.3333333333333333,er,complexity_saving
0.5,er,complexity_saving
0.5,er,complexity_saving
0.5,er,complexity_saving
0.0,er,complexity_saving
0.3333333333333333,er,complexity_saving
0.0,er,complexity_saving
0.3333333333333333,er,complexity_saving
0.0,er,complexity_saving
0.0,er,complexity_saving
0.3333333333333333,er,complexity_saving
0.0,er,complexity_saving
0.0,er,complexity_saving
0.25,er,complexity_saving
0.0,er,complexity_saving
0.25,er,complexity_saving
0.25,er,complexity_saving
0.0,er,complexity_saving
0.0,er,complexity_saving
0.25,er,complexity_saving
0.0,er,complexity_saving
0.3333333333333333,er,complexity_saving
0.0,er,complexity_saving
0.3333333333333333,er,complexity_saving
0.3333333333333333,er,complexity_saving
0.0,er,complexity_saving
0.0,er,complexity_saving
0.3333333333333333,er,complexity_saving
0.3333333333333333,er,complexity_saving
0.3333333333333333,er,complexity_saving
0.3333333333333333,er,complexity_saving
0.3333333333333333,er,complexity_saving
0.0,er,complexity_saving
0.3333333333333333,er,complexity_saving
0.0,er,complexity_saving
0.3333333333333333,er,complexity_saving
0.3333333333333333,er,complexity_saving
0.0,er,complexity_saving
0.0,er,complexity_saving
0.0,er,complexity_saving
0.0,er,complexity_saving
0.0,er,complexity_saving
0.0,er,complexity_saving
0.0,er,complexity_saving
0.0,er,complexity_saving
0.0,er,complexity_saving
0.0,er,complexity_saving
0.0,er,complexity_saving
0.0,er,complexity_saving
0.0,er,complexity_saving
-0.3333333333333332,er,complexity_saving
0.0,er,complexity_saving
0.0,er,complexity_saving
0.0,er,complexity_saving
0.0,er,complexity_saving
0.0,er,complexity_saving
0.25,er,complexity_saving
0.0,er,complexity_saving
0.0,er,complexity_saving
0.25,er,complexity_saving
0.0,er,complexity_saving
0.0,er,complexity_saving
0.0,er,complexity_saving
0.3333333333333333,er,complexity_saving
0.3333333333333333,er,complexity_saving
0.3333333333333333,er,complexity_saving
0.3333333333333333,er,complexity_saving
0.0,er,complexity_saving
0.0,er,complexity_saving
0.0,er,complexity_saving
0.0,er,complexity_saving
0.0,er,complexity_saving
0.0,er,complexity_saving
0.0,er,complexity_saving
0.0,er,complexity_saving
0.0,er,complexity_saving
0.0,er,complexity_saving
0.0,er,complexity_saving
-0.3333333333333332,er,complexity_saving
0.0,er,complexity_saving
0.0,er,complexity_saving
0.0,er,complexity_saving
0.0,er,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.25,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
-0.25,modular,complexity_saving
-0.25,modular,complexity_saving
-0.25,modular,complexity_saving
-0.25,modular,complexity_saving
-0.25,modular,complexity_saving
0.0,modular,complexity_saving
-0.5,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
-0.3333333333333332,modular,complexity_saving
-0.3333333333333332,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.3333333333333333,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.1666666666666666,modular,complexity_saving
0.1666666666666666,modular,complexity_saving
0.1666666666666666,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.25,modular,complexity_saving
0.25,modular,complexity_saving
0.0,modular,complexity_saving
-1.0,modular,complexity_saving
-0.5,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.3333333333333333,modular,complexity_saving
-0.3333333333333332,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
-0.3333333333333332,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
-0.25,modular,complexity_saving
0.0,modular,complexity_saving
0.1999999999999999,modular,complexity_saving
0.0,modular,complexity_saving
0.1999999999999999,modular,complexity_saving
0.1999999999999999,modular,complexity_saving
0.0,modular,complexity_saving
-0.1999999999999999,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
-0.1999999999999999,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
-0.1999999999999999,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
-0.3333333333333332,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
-0.3333333333333332,modular,complexity_saving
0.1999999999999999,modular,complexity_saving
0.1999999999999999,modular,complexity_saving
0.1999999999999999,modular,complexity_saving
0.1999999999999999,modular,complexity_saving
0.1999999999999999,modular,complexity_saving
0.0,modular,complexity_saving
0.1999999999999999,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
-0.1999999999999999,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.1666666666666666,modular,complexity_saving
-0.3333333333333332,modular,complexity_saving
0.1666666666666666,modular,complexity_saving
